2022-05-19 13:05:829 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (5f5f96802796a7c6fc43495aa752a0c3)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:851 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (5f5f96802796a7c6fc43495aa752a0c3)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:116 INFO  NewAndUsedCarPage :43 - Select car makes :Land Rover
2022-05-19 13:05:217 INFO  NewAndUsedCarPage :48 - Select car models :Discovery
2022-05-19 13:05:316 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - Sydney
2022-05-19 13:05:408 INFO  NewAndUsedCarPage :59 - Select car price :$50,000
2022-05-19 13:05:631 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (5f5f96802796a7c6fc43495aa752a0c3)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:752 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:493 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (8499959d5fd8a4f05e07d8e4d38de25a)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:432 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (8499959d5fd8a4f05e07d8e4d38de25a)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:454 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (8499959d5fd8a4f05e07d8e4d38de25a)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:683 INFO  NewAndUsedCarPage :43 - Select car makes :Kia
2022-05-19 13:05:834 INFO  NewAndUsedCarPage :48 - Select car models :Sportage
2022-05-19 13:05:935 INFO  NewAndUsedCarPage :54 - Select car locations :NT - North
2022-05-19 13:05:36 INFO  NewAndUsedCarPage :59 - Select car price :$35,000
2022-05-19 13:05:676 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (8499959d5fd8a4f05e07d8e4d38de25a)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:836 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:532 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (f9a8d3912e115806b9f45f87a968d069)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:456 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (f9a8d3912e115806b9f45f87a968d069)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
